地点,经纬度
伟记奥面馆(白塔东路店),"120.580010,31.291920"
同得兴·传统苏式面馆(十全街店),"120.710116,31.235696"
洞庭山莊·湖景·农家菜·民宿(岱心湾小镰仓店),"120.405141,31.110249"
CAPRAIBEXCOFFEE羍市(菉葭巷店),"120.632722,31.315891"
孙盛兴奥灶面馆(山塘街店),"120.629892,31.320814"
江南雅厨(李公堤店),"120.623977,31.289787"
SERA NERA 青酱意大利厨房(吴衙场店),"120.637557,31.299425"
青鹤谷(苏州店),"120.693277,31.297477"
江南雅厨(苏州中心店),"120.623977,31.289787"
苏枕河精致苏帮菜 好吃不贵(山塘街店),"120.606702,31.315348"
暖食·手作(观前店),"120.627231,31.309174"
苏城家宴(李公堤店),"120.689255,31.302279"
有时无界·港式餐厅(苏州中心店),"120.678065,31.319264"
玖泉里烤肉,"120.611356,31.307818"
古洋食坊OldMelodie(苏州中心店),"120.678591,31.318078"
金海华·苏SHOW(李公堤旗舰店),"120.441521,31.437350"
裕面堂·精品苏式面馆(山塘街店),"120.710116,31.235696"
绣园苏式火锅(大洋百货总店),"120.621623,31.308518"
裕兴记·精品苏式面馆(金鸡湖店),"120.664105,31.316337"
兴发野菜馆·农家乐(西山长沙岛店),"120.365617,31.193626"
十二道丰味·徐州土菜·地锅小公鸡(何山路店),"120.640699,31.357816"
ROSEMANOR露丝玛娜,"120.620659,31.308090"
豆壳·苏式创意菜(平江路店),"120.605366,31.314739"
裕兴记(观前1号店),"120.606156,31.309095"
新梅华餐厅(星悦汇店),"121.110430,31.442760"
水宴餐厅(明月湾店),"120.387821,31.219442"
万泰兴·苏式面馆(十全街店),"120.607640,31.303434"
CRAZYONES克芮旺斯西班牙餐厅(苏州中心店),"120.676932,31.317779"
伴园私房菜·配餐(平江路总店),"120.611856,31.298361"
马头巷·隐庐居(园区店),"121.036954,31.657483"
金海华·小爱都市情感餐厅(信投大厦店),"120.715585,31.318286"
我的收藏(泉屋百货店),"120.549154,31.283183"
金海华·赫本时光城市风尚餐厅(现代传媒广场店),"120.548963,31.282080"
江南雅厨(泰华商城店),"120.623977,31.289787"
